Month,Passengers
2016-01,47
2016-02,32
2016-03,134
2016-04,153
2016-05,506
2016-06,412
2016-07,876
2016-08,1226
2016-09,237
2016-10,589
2016-11,142
2016-12,64
2017-01,48
2017-02,35
2017-03,146
2017-04,183
2017-05,713
2017-06,425
2017-07,1087
2017-08,1347
2017-09,261
2017-10,754
2017-11,173
2017-12,82
2018-01,53
2018-02,31
2018-03,158
2018-04,224
2018-05,861
2018-06,537
2018-07,1246
2018-08,1562
2018-09,326
2018-10,924
2018-11,215
2018-12,87
2019-01,57
2019-02,34
2019-03,164
2019-04,238
2019-05,976
2019-06,612
2019-07,1429
2019-08,1916
2019-09,357
2019-10,1163
2019-11,206
2019-12,75
2020-01,32
2020-02,14
2020-03,12
2020-04,17
2020-05,68
2020-06,174
2020-07,657
2020-08,765
2020-09,127
2020-10,342
2020-11,107
2020-12,63